Comment,Llama 70B 1,Mixtral 1,Deepseek 1,Llama 70B 2,Mixtral 2,Deepseek 2,Llama 70B 3,Mixtral 3,Deepseek 3,Llama 70B 4,Mixtral 4,Deepseek 4,Llama 70B 5,Mixtral 5,Deepseek 5
"You are stating the same sort of conspiracy theory that supporters of the occupiers have been making online in countless discussion forums. These are extremist anti-government hate groups and are no different than Islamic terrorists regarding the irrationality of their thinking. Back on Feb 2nd, it was announced that the investigation into Finicum's shooting would not be done until early to mid-March. The investigation is being headed by the Deschutes County Sheriff's office, with assistance from the Bend and Redmond police departments.

Yet, you attempt to make some sort of anti-government conspiracy out of this investigation, when it is being handled normally according to established protocols. You need to spend more time reading real news, and stop listening to all of the nonsense on these anti-government websites.

http://www.oregonlive.com/oregon-standoff/2016/02/investigation_into_death_of_or.html",Conspiracy-theory promotion; anti-government extremism comparison; adherence to established investigation protocols.,Conspiracy Rejection,Conspiracy Theory Dismissal,Contrast of Conspiracy Theory with Official Investigation and Credible Sources,Conspiracy Rejection via Official Narrative,Conspiracy Theory Dismissal,Conspiracy Rejection via Official Narrative and Established Protocols,Rejection of Conspiracy via Credible Sources,Official Narrative over Conspiracy Theory,Conspiracy Rejection via Official Narrative and Established Protocols,Rejecting Conspiracy Theories through Official Narrative and Credible Sources,Conspiracy Rejection via Official Narrative,Conspiracy Rejection via Official Narrative,Comparison to Terrorist Groups and Adherence to Established Protocols,Reliance on Credible News Sources
"The kind of messes we are seeing go beyond someone just needing a place to store their stuff. We are talking garbage, used needles, and excrement. Plus bizarre things like large kids' toys when there are no kids around. You hit it on the head when you brought up mental illness. I think the majority of those camping in the big camps full of trash are either mentally ill or on drugs and need genuine assistance, not just a place to camp. Those who are are just down on their luck, but otherwise healthy and productive, tend to find places to crash with friends or sleep in their cars.",Chronic Homelessness with Mental Illness/Substance Abuse,Pathology Over Poverty,Mental Health and Substance Abuse Challenges,Chronic Homelessness due to Mental Illness and Substance Abuse,Underlying Pathologies Driving Homelessness,Mental Illness and Substance Abuse as Homelessness Barriers,Chronic Homelessness and Mental Health/Substance Abuse Challenges,Mental Illness & Substance Abuse: Root Causes of Chronic Homelessness,Mental Health & Substance Abuse: Key Drivers of Chronic Homelessness,Mental Illness & Substance Abuse: Root Causes of Chronic Homelessness,Mental Illness & Substance Abuse: Root Causes of Chronic Homelessness,Mental Illness & Substance Abuse: Root Causes of Chronic Homelessness,Mental Illness & Substance Abuse: Root Causes of Chronic Homelessness,Mental Illness & Substance Abuse: Root Causes of Chronic Homelessness,Mental Illness & Substance Abuse: Root Causes of Chronic Homelessness
"I didn't hear about the Christian thing with Shockley, is he a member of your church? Wouldn't surprise me that someone of such low character was passing themselves off as a Christian.

Secondly, I didn't condemn the D- Party, what I wrote was ""Seems the Democrats in Oregon have some real dark horses in their barn yard"", ""some real dark horses"" speaks to individuals as opposed to saying ALL D-Party members are dark horses. Gee, I would hope they are not all liars like Obama, Hillary, Kitzhaber, Bean, and Shockley, but maybe I'm wrong? I really like Eugene City Councilor George Poling and he is a registered Democrat.",Skepticism towards individuals claiming Christian values; distrust of certain political figures.,Politico-Religious Skepticism,Questioning Integrity and Affiliation,Skepticism of Integrity in Politico-Religious Affiliations,Skepticism of Integrity in Politico-Religious Affiliations,Skepticism of Integrity in Politico-Religious Affiliations,Skepticism of Integrity in Politico-Religious Contexts,Skepticism of Integrity in Politico-Religious Contexts,Skepticism of Integrity in Politico-Religious Contexts,Skepticism of Integrity in Politico-Religious Contexts,Skepticism of Integrity in Politico-Religious Contexts,Skepticism of Integrity in Politico-Religious Contexts,Skepticism of Integrity in Politico-Religious Contexts,Skepticism of Integrity in Politico-Religious Contexts,Skepticism of Integrity in Politico-Religious Contexts
"Who:  I certainly didn't say ""all Christians"" were operating Ponzi schemes either.  I am not a member of Mr. Shockley's church (or any church), but I do know he was very involved and active in that church.  You note that ""someone of such low character was passing themselves off as a Christian.""  You think that's bad.  Based on your assertions (unsupported, by the way) it seems that, even worse, ""someone of such low character was (also) passing themselves off as a Democrat.""  These damn lowlifes; they're giving both the Christian Church and the Democratic Party a bad name.  Whatever shall we do?",Damaging representation by individuals to group reputation,Hypocrisy and Affiliation,Damage to Group Reputation through Individual Actions,Individual Misconduct Tarnishing Group Reputations,Reputational Harm through Individual Hypocrisy,Individual Actions Undermining Group Integrity,Individual Misconduct and Group Reputation,Group Reputation and Individual Accountability,Misrepresentation and Reputation Damage,Individual Misconduct Undermining Group Reputation,Individual Misconduct and Group Reputation,Individual Misconduct and Group Reputation,Individual Misconduct Undermining Group Reputation,Individual Misconduct Tarnishing Group Reputations,Individual Misconduct and Group Reputation
"Ms. Slovic:

Wow.  Thanks for this.  I love the disconnect between Bailey attending a somewhat scary church (female submission, anti-gay) and being a progressive.  It shows something hard to define, but not very likable, about his character.  He's kinda wishy-washy.   

I, for one, don't want a candidate who acts on woo-woo beliefs
and goes to a church that disdains the lifestyles of many Portlanders.

Gay people, co-habitors, feminists should consider whether they want Bailey to lead the city, given his almost schizoid spirituality (my church is great even if the doctrines and clergy are backwards and bigoted).

What does it say about Bailey's intellect that he can hold such self-contradictory ideas?",Inconsistent/Divisive Spirituality,Inconsistent Values,Contradictory Beliefs and Character Flaws,Inconsistent Progressive Identity and Character Flaws,Inconsistent Progressive Identity and Character Flaws,Inconsistent Progressive Identity and Character Flaws,Inconsistent Progressive Identity and Character Flaws,Inconsistent Progressive Identity and Character Flaws,Inconsistent Progressive Identity and Character Flaws,Inconsistent Progressive Identity and Character Flaws,Inconsistent Progressive Identity and Character Flaws,Inconsistent Progressive Identity and Character Flaws,Inconsistent Progressive Identity and Character Flaws,Inconsistent Progressive Identity and Character Flaws,Inconsistent Progressive Identity and Character Flaws
"Finally someone is speaking up against the rich and powerful Ainsworth Spanish Immersion (ASI) syndicate.

These ASI people are the biggest hypocrites. 

The fact is that ASI has the fewest minorities and poor families of all the Spanish immersion programs in Portland, by far. The ASI Spanish speakers are mostly rich white Hispanic families, who are now claiming to be part of the historically underserved population. This is an abomination. ASI has become a place for rich white kids to learn Spanish while also using public funding. 

ASI have orchestrated a campaign to show how they are being ""segregated"". They've brought in ringers, had people put on fake accents, every disingenuous argument that they could come up with, all so that the program does not have to move to another building less than 3 miles away.
Moving the program would open it up to more poor families of color, but ASI  would rather abandon the program than allow this.

That is the real injustice here. 

Somos egoistas.",ASI - wealthy white hypocrisy and exclusion,ElitismMasqueradingAsInclusion,Hypocrisy in Educational Inequality,WealthyHypocrisyInASI,WealthyHypocrisyInASI,WealthyHypocrisyInASI,WealthBasedHypocrisyInASI,WealthBasedHypocrisyInASI,WealthBasedHypocrisyInASI,WealthHypocrisyInASI,WealthHypocrisyInASI,WealthHypocrisyInASI,WealthBasedHypocrisyInASI,WealthBasedHypocrisyInASI,WealthBasedHypocrisyInASI
"Mr/Ms so-called Brown,
I did not say anything about Latino nannies. Now did you come up with that kind of detail? Hmm.

You speak of an integrated school, but from your statement it is clear that you are fine with any or all neighborhood families being thrown out of Ainsworth (""redistricted"") so long as you are not affected. The worst kind of hypocrite is the one that does not even realize it.

BTW I am brown, so don't bring your racist BS argument here. Can you reconcile your statement with the fact that the Ainsworth SI program has so few minorities? Why are you so opposed to making the program more inclusive?",Hypocritical use of 'integration' masking self-interest and discrimination,Accusation of Hypocrisy and Racial Insensitivity,Hypocrisy and Racial Exclusion,Hypocrisy in Integration and Racial Exclusion,Hypocrisy in Integration and Racial Exclusion,Hypocrisy in Integration and Racial Exclusion,Hypocrisy in Integration with Racial Bias,Hypocrisy in Integration with Racial Bias,Hypocrisy in Integration with Racial Bias,Hypocrisy in Integration and Exclusion of Minorities,Hypocrisy in Integration and Exclusion of Minorities,Hypocrisy in Integration and Exclusion of Minorities,Hypocrisy and Racial Exclusion,Hypocrisy and Racial Exclusion,Hypocrisy and Racial Exclusion
"The media/leftwing hate showered on the Malheur protesters is a manifestation of their hate for anything and anyone who is Caucasian/Christian/Conservative..... it goes back to Barack Obama's bigoted ""guns and religion"" comment.

In the Ferguson case, the left hammered law enforcement over the shooting of Michael Brown who had punched the cop in the face and tried to steal his gun.

In the Malheur case, the left was demanding that law enforcement confront and get aggressive with non-violent protesters to the point of a showdown, then applauded law enforcement for doing so.

One more big difference.... the left publicized the name and address of the Ferguson cop, but not so with the Malheur cop. Why?

The blatant hypocrisy of the left never ends.",Selective treatment and hypocrisy in media/leftwing coverage of Caucasian/Christian/Conservative-related cases,Perceived Hypocrisy of Liberal Bias,Perceived Bias and Hypocrisy in Media Reporting,Perceived Hypocrisy of Liberal Bias in Media/Politicians,Perceived Bias and Hypocrisy in Media Reporting,Perceived Hypocrisy of Liberal Bias in Media/Politicians,Perceived Liberal Bias and Hypocrisy in Media Coverage and Politics,Liberal Bias and Hypocrisy in Media Coverage,Perceived Unequal Treatment by Liberal Media/Politicians,Perceived Hypocrisy of Liberal Bias in Media/Politicians,Perceived Hypocrisy of Liberal Bias in Media/Politicians,Perceived Liberal Bias and Hypocrisy in Media Coverage,Perceived Hypocrisy of Liberal Bias in Media/Politicians,Perceived Liberal Bias and Hypocrisy in Media Coverage and Politics,Perceived Hypocrisy of Liberal Bias in Media/Politicians
"Jules Bailey would have us overlook his church's discriminatory policies simply because he says he disagrees with them. And anyway, ""we're family"", as if it's just his crazy Uncle Imago Dei in the attic.

Mr. Baily's religion is his private business. Nonetheless, as a candidate ""running to be a mayor for everybody"", the organizations he chooses to join are a very valid indicator of his beliefs and values. (Jules, there are hundreds of churches which do not deny civil rights to the LBGT community. Did you even look?)

Portlanders care deeply when a mayoral candidate chooses to join an organization which denies civil rights to any group. What if Mr. Bailey chose to join an organization which denied civil rights to blacks? Women? Moslems? 

As they say, Mr. Bailey, ""you can choose your friends but you can't choose your family."" In this case, you have chosen to affiliate yourself with ""family"" which denies the LBGT community full civil rights. Portland voters will not overlook this.",Hypocrisy of selective affiliation and disregard for community's civil rights concerns.,Inconsistent Inclusion,Affiliation as a Reflection of Values and Political Accountability,Inconsistent Inclusion: Affiliation as a Reflection of Values and Political Accountability,Selective Affiliation and Accountability,Hypocritical Affiliation: Values vs. Actions,Inconsistent Inclusion: Affiliation as a Reflection of Values and Political Accountability,Discordant Allegiance: Inclusion and Accountability,Affiliation Reflecting Values and Political Accountability,Inconsistent Inclusion: Affiliation as a Reflection of Values and Political Accountability,Affiliation as a Reflection of Values and Political Accountability,Selective Affiliation and Political Consequences,Inconsistent Inclusion: Affiliation as a Reflection of Values and Political Accountability,Inconsistent Inclusion: Affiliation as a Reflection of Values and Political Accountability,Affiliation as a Reflection of Values and Political Accountability
"Again with the ""dishonesty."" Sheesh. If you choose to interpret my attempt to recognize nuance as a ""twisted rationalization for bigotry,"" then I think I'm finally convinced this argument isn't worth my time. I in no way support homophobia or misogyny, but personally, I'm increasingly convinced that the greatest ""evil"" in this world is the insistence that one's political and ideological adversaries should be dismissed as ""evil."" 

It's a messy, (mostly) gray world out there -- I'd say we should spend less energy trying to delineate our enemies from our allies and more energy seeking common ground and respectful dialogue. But to each their own -- you do you, and if black-and-white helps you sleep at night, knock yourself out.",Promoting nuance and mutual respect over divisive labeling,Seeking Nuance Over Dichotomy,Rejecting Binary Thinking and Advocating for Nuance,"Rejecting Binary Thinking, Advocating for Nuance, and Promoting Respectful Dialogue",Fostering Nuance and Respect Over Divisive Labels,Seeking Nuance and Empathy Over Dichotomy,"Fostering Nuance, Respect, and Dialogue: Rejecting Binary Thinking","Rejecting Binary Thinking, Embracing Nuance",Nuance Over Division,Rejecting Binary Thinking and Advocating for Nuance,Embracing Nuance and Mutual Respect,Promoting Nuance and Mutual Respect Over Divisive Labeling,Rejecting Binary Thinking and Advocating for Nuance,Embracing Nuance and Mutual Respect,Rejecting Binary Thinking and Advocating for Nuance
"Imago Dei is a large institution with political clout that condemns your mom as a sinner.  I don't call that ""love.""  Imago Dei's anti-gay evangelism is different from my Aunt Agnes expressing discomfort with gay marriage over tea.

My goal is to make sure that Bailey loses this election.  I won't change the minds of those who buy into  Imago Dei patriarchy/homophobia trip and I kinda don't care.
If I dissuade someone from joining the group- well that is worthwhile and a possibility.

Posting under a new screen name that is an alteration of my screen name annoys me.
Show a little more originality.",Critique of Imago Dei and its impact on election; opposition to homophobia; disapproval of unoriginal online persona alteration.,Resistance to Institutionalized Homophobia,Critique of Institution's Anti-LGBTQ+ Influence,Challenging Institutionalized Homophobia,Challenging Institutional Homophobia,Resistance to Imago Dei's Institutionalized Homophobia,Resistance to Institutionalized Homophobia in Imago Dei,Resisting Imago Dei's Homophobia,Resistance to Imago Dei's Anti-LGBTQ+ Stance,Resisting Imago Dei's Institutionalized Homophobia,Resisting Imago Dei's Anti-LGBTQ+ Influence,Resistance to Imago Dei's Institutionalized Homophobia,Resistance to Imago Dei's Institutionalized Homophobia,Resistance to Imago Dei's Institutionalized Homophobia,Resistance to Imago Dei's Institutionalized Homophobia
"Great point.  This picking-and-choosing allows folks to subjugate women, but ignores all the other great stuff in Leviticus.  Eat a cheeseburger?  That's a sin--mixing meat and dairy.  Not circumcised guys?  You're a sinner.  Work on Sunday?  Sinner.  (So...are religious leaders who are ""working"" leading their congregations on Sunday...wow, gets confusing.)  The litany of Old Testament things that the ""Good Book"" says is hilarious.  Just as hilarious as saying women aren't fit to lead--because the ""Good Book"" says so.  As Nathan might suggest, read Leviticus--it's an eye-opener.  And totally unrelated to the teachings of Jesus, the New Testament, since nowhere does he suggest women are second-class people. (Speaking of Jesus here, and not the misogynist Paul.)","Selective interpretation of Old Testament leads to contradictory and discriminatory beliefs, contrasted with teachings of Jesus in the New Testament.",Selective Literalism,Selective Interpretation and Hypocrisy in Religious Application,Challenging Selective Religious Interpretation,Selective Literalism and Hypocrisy,Hypocritical Selective Literalism,Selective and Discriminatory Literalism,Hypocritical Selective Interpretation,Discriminatory Selective Application,Hypocritical Selective Literalism,Selective and Hypocritical Religious Application,Selective and Discriminatory Literalism,Hypocritical Selective Literalism,Hypocritical Selective Literalism,Hypocritical Selective Literalism
"I agree. The super rich will not give up their power willingly and will use violence, CIA dirty tricks, the FBI and whatever other means necessary to prevent the impoverished and exploited masses from taking back the power that rightfully belongs to them. 
Some of these people will use legal means for the take back of power, while others will necessarily fight violence with violence. It will take both approaches to obtain results.
The Malheur occupation was a situation of rich ranchers exploiting the ignorance of poorer white people to legitimate the privatization of public lands, one of the aims of the super rich. The Malheur occupation didn't succeed. Poor white people have the disadvantage of being sucked into believing their interests lie with rich whites when it doesn't. At least the exploited masses of non-whites know who their enemy is. Poor whites are like the faithful dog whose owner regularly kicks them in the face, but keeps coming back for more abuse.",Rich exploiting poor through manipulation and violence; resistance required,Class Warfare and Manipulation,Power Dynamics and Exploitation,"Manipulation, Exploitation & Resistance in Power Dynamics",Exploitation and Resistance in Power Dynamics,"Exploitation, Manipulation, and Resistance",Power Dynamics: Class Exploitation and Resistance,"Exploitation, Manipulation, and Resistance","Exploitation, Manipulation, and Resistance Dynamics",Power Dynamics: Exploitation and Resistance,"Exploitation, Manipulation, and Resistance","Exploitation, Manipulation, and Resistance","Exploitation, Manipulation, and Resistance","Exploitation, Manipulation, and Resistance","Exploitation, Manipulation, and Resistance"
"Wheeler and Bailey go to vastly different cafeterias.

Jules bailey worships at the same denomination as Falwell/Huckabee/Franklin Graham/Ted Cruz.  His church preaches female submission and that gays are sinful.  He titthes to this church and also does Bible study with them.Even if his conservative fundy evangelical church pretends to be cool- they are the same homophobes as you would find at Liberty University.   
Wheeler goes to a more inclusive church, and his sky god is not as scary.

Wheeler and Bailey have some similar policies, but I find Bailey untrustworthy & wishy-washy.  Note that he won't defend the church but still gives it $.  What does Bailey believe and what will he stand up for?  Why does he listen to a Pastor who preaches that Jessica Bailey should submit to Jules Bailey?

I can understand voting for David Schor- but Bailey? Bailey? What a weakling.",Political Differences and Religious Beliefs Influence Perceptions of Candidates' Trustworthiness and Strength,Authenticity vs. Hypocrisy,Religious Context and Character Judgement,Religious Context and Perceptions of Authenticity,Religious Context and Perceptions of Authenticity,Religious Context and Perceptions of Authenticity,Religious Influence on Perceived Authenticity and Trust,"Religious Context, Authenticity, and Perceived Trustworthiness",Religious Influences on Authenticity and Trust,Influence of Religious Factors on Trust Perceptions,"Political and Religious Context Shape Perceptions of Authenticity, Trustworthiness, and Strength",Religious Context and Perceptions of Authenticity and Trustworthiness,Religious Context and Perceptions of Authenticity,Religious Context and Perceptions of Authenticity,Religious Context and Perceptions of Authenticity
